S.No.,Location,Status
1,"Ramakrishna Beach, Vizag, Andhra Pradesh",Provided
2,"Lal Bagh, Bangalore, Karnataka",To be provided
3,"Brindavan Gardens, Mysore, Karnataka",To be provided
4,"Cubbon Park, Karnataka",Provided
5,"Hampi, Karnataka",Provided
6,"Boulevard, Pondicherry, Tamil Nadu",Provided
7,"Meenakshi Temple, Madurai, Tamil Nadu",To be provided
8,"Botanical Garden, Ooty, Tamil Nadu",Provided
9,"Brihadeeswarar Temple, Thanjavur, Tamil Nadu",Provided
10,"Shore Temple, Mahabalipuram, Tamil Nadu",Provided
11,"Guruvayur Temple, Kerala",Provided
12,"Jagannath Temple, Puri, Odisha",Provided
13,"Konark Temple, Odisha",Provided
14,"Taj Mahal, Agra, Uttar Pradesh",Provided
15,"Fatehpur Sikri, Agra, Uttar Pradesh",Provided
16,"Sarnath Temple, Uttar Pradesh",Provided
17,"Upper Lake, Bhopal, Madhya Pradesh",Provided
18,"Orchcha Temple, Madhya Pradesh",Provided
19,"Khajuraho, Madhya Pradesh",Provided
